PLANNING AREA,SUBZONE,Age,Sex,Population
SENGKANG,TOTAL,10 ,Females,1670 
SENGKANG,TOTAL,11 ,Total,3580 
SENGKANG,TOTAL,11 ,Males,1880 
SENGKANG,TOTAL,11 ,Females,1700 
SENGKANG,TOTAL,12 ,Total,3310 
SENGKANG,TOTAL,12 ,Males,1670 
SENGKANG,TOTAL,12 ,Females,1640 
SENGKANG,TOTAL,13 ,Total,3100 
SENGKANG,TOTAL,13 ,Males,1620 
SENGKANG,TOTAL,13 ,Females,1480 
SENGKANG,TOTAL,14 ,Total,3210 
SENGKANG,TOTAL,14 ,Males,1580 
SENGKANG,TOTAL,14 ,Females,1630 
SENGKANG,TOTAL,15 ,Total,3150 
SENGKANG,TOTAL,15 ,Males,1630 
SENGKANG,TOTAL,15 ,Females,1520 
SENGKANG,TOTAL,16 ,Total,3260 
SENGKANG,TOTAL,16 ,Males,1670 
SENGKANG,TOTAL,16 ,Females,1590 
SENGKANG,TOTAL,17 ,Total,3070 
SENGKANG,TOTAL,17 ,Males,1610 
SENGKANG,TOTAL,17 ,Females,1460 
SENGKANG,TOTAL,18 ,Total,3020 
SENGKANG,TOTAL,18 ,Males,1520 
SENGKANG,TOTAL,18 ,Females,1500 
SENGKANG,TOTAL,19 ,Total,2770 
SENGKANG,TOTAL,19 ,Males,1430 
SENGKANG,TOTAL,19 ,Females,1340 
SENGKANG,TOTAL,20 ,Total,2690 
SENGKANG,TOTAL,20 ,Males,1410 
SENGKANG,TOTAL,20 ,Females,1280 
SENGKANG,TOTAL,21 ,Total,2750 
SENGKANG,TOTAL,21 ,Males,1370 
SENGKANG,TOTAL,21 ,Females,1380 
SENGKANG,TOTAL,22 ,Total,2730 
SENGKANG,TOTAL,22 ,Males,1390 
SENGKANG,TOTAL,22 ,Females,1340 
SENGKANG,TOTAL,23 ,Total,2950 
SENGKANG,TOTAL,23 ,Males,1540 
SENGKANG,TOTAL,23 ,Females,1410 
SENGKANG,TOTAL,24 ,Total,2910 
SENGKANG,TOTAL,24 ,Males,1490 
SENGKANG,TOTAL,24 ,Females,1420 
SENGKANG,TOTAL,25 ,Total,2750 
SENGKANG,TOTAL,25 ,Males,1370 
SENGKANG,TOTAL,25 ,Females,1380 
SENGKANG,TOTAL,26 ,Total,2970 
SENGKANG,TOTAL,26 ,Males,1470 
SENGKANG,TOTAL,26 ,Females,1500 
SENGKANG,TOTAL,27 ,Total,3130 
SENGKANG,TOTAL,27 ,Males,1530 
SENGKANG,TOTAL,27 ,Females,1600 
SENGKANG,TOTAL,28 ,Total,3310 
SENGKANG,TOTAL,28 ,Males,1650 
SENGKANG,TOTAL,28 ,Females,1660 
SENGKANG,TOTAL,29 ,Total,3480 
SENGKANG,TOTAL,29 ,Males,1660 
SENGKANG,TOTAL,29 ,Females,1820 
SENGKANG,TOTAL,30 ,Total,3760 
SENGKANG,TOTAL,30 ,Males,1770 
SENGKANG,TOTAL,30 ,Females,1980 
SENGKANG,TOTAL,31 ,Total,3890 
SENGKANG,TOTAL,31 ,Males,1800 
SENGKANG,TOTAL,31 ,Females,2090 
SENGKANG,TOTAL,32 ,Total,4030 
SENGKANG,TOTAL,32 ,Males,1930 
SENGKANG,TOTAL,32 ,Females,2110 
SENGKANG,TOTAL,33 ,Total,4270 
SENGKANG,TOTAL,33 ,Males,2000 
SENGKANG,TOTAL,33 ,Females,2270 
SENGKANG,TOTAL,34 ,Total,4380 
SENGKANG,TOTAL,34 ,Males,1990 
SENGKANG,TOTAL,34 ,Females,2390 
SENGKANG,TOTAL,35 ,Total,4830 
SENGKANG,TOTAL,35 ,Males,2210 
SENGKANG,TOTAL,35 ,Females,2620 
SENGKANG,TOTAL,36 ,Total,4650 
SENGKANG,TOTAL,36 ,Males,2170 
SENGKANG,TOTAL,36 ,Females,2480 
SENGKANG,TOTAL,37 ,Total,4330 
SENGKANG,TOTAL,37 ,Males,2010 
SENGKANG,TOTAL,37 ,Females,2330 
SENGKANG,TOTAL,38 ,Total,4750 
SENGKANG,TOTAL,38 ,Males,2190 
SENGKANG,TOTAL,38 ,Females,2560 
SENGKANG,TOTAL,39 ,Total,4850 
SENGKANG,TOTAL,39 ,Males,2240 
SENGKANG,TOTAL,39 ,Females,2610 
SENGKANG,TOTAL,40 ,Total,4740 
SENGKANG,TOTAL,40 ,Males,2230 
SENGKANG,TOTAL,40 ,Females,2510 
SENGKANG,TOTAL,41 ,Total,5130 
SENGKANG,TOTAL,41 ,Males,2440 
SENGKANG,TOTAL,41 ,Females,2690 
SENGKANG,TOTAL,42 ,Total,5000 
SENGKANG,TOTAL,42 ,Males,2400 
SENGKANG,TOTAL,42 ,Females,2600 
SENGKANG,TOTAL,43 ,Total,4870 
SENGKANG,TOTAL,43 ,Males,2330 
SENGKANG,TOTAL,43 ,Females,2540 
SENGKANG,TOTAL,44 ,Total,4680 
SENGKANG,TOTAL,44 ,Males,2240 
SENGKANG,TOTAL,44 ,Females,2440 
SENGKANG,TOTAL,45 ,Total,4680 
SENGKANG,TOTAL,45 ,Males,2250 
SENGKANG,TOTAL,45 ,Females,2430 
SENGKANG,TOTAL,46 ,Total,4360 
SENGKANG,TOTAL,46 ,Males,2080 
SENGKANG,TOTAL,46 ,Females,2270 
SENGKANG,TOTAL,47 ,Total,4410 
SENGKANG,TOTAL,47 ,Males,2170 
SENGKANG,TOTAL,47 ,Females,2250 
SENGKANG,TOTAL,48 ,Total,4200 
SENGKANG,TOTAL,48 ,Males,1980 
SENGKANG,TOTAL,48 ,Females,2220 
SENGKANG,TOTAL,49 ,Total,4150 
SENGKANG,TOTAL,49 ,Males,2090 
SENGKANG,TOTAL,49 ,Females,2060 
SENGKANG,TOTAL,50 ,Total,4290 
SENGKANG,TOTAL,50 ,Males,2140 
SENGKANG,TOTAL,50 ,Females,2150 
SENGKANG,TOTAL,51 ,Total,4300 
SENGKANG,TOTAL,51 ,Males,2160 
SENGKANG,TOTAL,51 ,Females,2130 
SENGKANG,TOTAL,52 ,Total,3930 
SENGKANG,TOTAL,52 ,Males,1930 
SENGKANG,TOTAL,52 ,Females,2010 
SENGKANG,TOTAL,53 ,Total,3830 
SENGKANG,TOTAL,53 ,Males,1910 
SENGKANG,TOTAL,53 ,Females,1920 
SENGKANG,TOTAL,54 ,Total,3310 
SENGKANG,TOTAL,54 ,Males,1670 
SENGKANG,TOTAL,54 ,Females,1640 
SENGKANG,TOTAL,55 ,Total,3250 
SENGKANG,TOTAL,55 ,Males,1650 
SENGKANG,TOTAL,55 ,Females,1590 
SENGKANG,TOTAL,56 ,Total,3310 
SENGKANG,TOTAL,56 ,Males,1680 
SENGKANG,TOTAL,56 ,Females,1630 
SENGKANG,TOTAL,57 ,Total,3130 
SENGKANG,TOTAL,57 ,Males,1620 
SENGKANG,TOTAL,57 ,Females,1500 
SENGKANG,TOTAL,58 ,Total,3250 
SENGKANG,TOTAL,58 ,Males,1670 
SENGKANG,TOTAL,58 ,Females,1570 
SENGKANG,TOTAL,59 ,Total,3140 
SENGKANG,TOTAL,59 ,Males,1610 
SENGKANG,TOTAL,59 ,Females,1530 
SENGKANG,TOTAL,60 ,Total,3140 
SENGKANG,TOTAL,60 ,Males,1530 
SENGKANG,TOTAL,60 ,Females,1600 
SENGKANG,TOTAL,61 ,Total,3060 
SENGKANG,TOTAL,61 ,Males,1540 
SENGKANG,TOTAL,61 ,Females,1520 
SENGKANG,TOTAL,62 ,Total,3010 
SENGKANG,TOTAL,62 ,Males,1500 
SENGKANG,TOTAL,62 ,Females,1510 
SENGKANG,TOTAL,63 ,Total,3010 
SENGKANG,TOTAL,63 ,Males,1470 
SENGKANG,TOTAL,63 ,Females,1530 
SENGKANG,TOTAL,64 ,Total,2930 
SENGKANG,TOTAL,64 ,Males,1460 
SENGKANG,TOTAL,64 ,Females,1470 
SENGKANG,TOTAL,65 ,Total,2910 
SENGKANG,TOTAL,65 ,Males,1390 
SENGKANG,TOTAL,65 ,Females,1520 
SENGKANG,TOTAL,66 ,Total,2810 
SENGKANG,TOTAL,66 ,Males,1350 
SENGKANG,TOTAL,66 ,Females,1460 
SENGKANG,TOTAL,67 ,Total,2700 
SENGKANG,TOTAL,67 ,Males,1350 
SENGKANG,TOTAL,67 ,Females,1350 
SENGKANG,TOTAL,68 ,Total,2490 
SENGKANG,TOTAL,68 ,Males,1220 
SENGKANG,TOTAL,68 ,Females,1280 
SENGKANG,TOTAL,69 ,Total,2340 
SENGKANG,TOTAL,69 ,Males,1140 
SENGKANG,TOTAL,69 ,Females,1200 
SENGKANG,TOTAL,70 ,Total,2250 
SENGKANG,TOTAL,70 ,Males,1110 
SENGKANG,TOTAL,70 ,Females,1140 
SENGKANG,TOTAL,71 ,Total,2000 
SENGKANG,TOTAL,71 ,Males,950 
SENGKANG,TOTAL,71 ,Females,1050 
SENGKANG,TOTAL,72 ,Total,1780 
SENGKANG,TOTAL,72 ,Males,830 
SENGKANG,TOTAL,72 ,Females,950 
SENGKANG,TOTAL,73 ,Total,1710 
SENGKANG,TOTAL,73 ,Males,820 
SENGKANG,TOTAL,73 ,Females,890 
SENGKANG,TOTAL,74 ,Total,1580 
SENGKANG,TOTAL,74 ,Males,750 
SENGKANG,TOTAL,74 ,Females,830 
SENGKANG,TOTAL,75 ,Total,1470 
SENGKANG,TOTAL,75 ,Males,710 
SENGKANG,TOTAL,75 ,Females,750 
SENGKANG,TOTAL,76 ,Total,1360 
SENGKANG,TOTAL,76 ,Males,620 
SENGKANG,TOTAL,76 ,Females,740 
SENGKANG,TOTAL,77 ,Total,1270 
SENGKANG,TOTAL,77 ,Males,570 
SENGKANG,TOTAL,77 ,Females,700 
SENGKANG,TOTAL,78 ,Total,820 
SENGKANG,TOTAL,78 ,Males,370 
SENGKANG,TOTAL,78 ,Females,450 
SENGKANG,TOTAL,79 ,Total,630 
SENGKANG,TOTAL,79 ,Males,280 
SENGKANG,TOTAL,79 ,Females,350 
SENGKANG,TOTAL,80 ,Total,720 
SENGKANG,TOTAL,80 ,Males,310 
SENGKANG,TOTAL,80 ,Females,410 
SENGKANG,TOTAL,81 ,Total,560 
SENGKANG,TOTAL,81 ,Males,250 
SENGKANG,TOTAL,81 ,Females,310 
SENGKANG,TOTAL,82 ,Total,500 
SENGKANG,TOTAL,82 ,Males,210 
SENGKANG,TOTAL,82 ,Females,290 
SENGKANG,TOTAL,83 ,Total,550 
SENGKANG,TOTAL,83 ,Males,240 
SENGKANG,TOTAL,83 ,Females,310 
SENGKANG,TOTAL,84 ,Total,530 
SENGKANG,TOTAL,84 ,Males,210 
SENGKANG,TOTAL,84 ,Females,320 
SENGKANG,TOTAL,85 ,Total,440 
SENGKANG,TOTAL,85 ,Males,170 
SENGKANG,TOTAL,85 ,Females,270 
SENGKANG,TOTAL,86 ,Total,310 
SENGKANG,TOTAL,86 ,Males,120 
SENGKANG,TOTAL,86 ,Females,190 
SENGKANG,TOTAL,87 ,Total,240 
SENGKANG,TOTAL,87 ,Males,90 
SENGKANG,TOTAL,87 ,Females,150 
SENGKANG,TOTAL,88 ,Total,230 
SENGKANG,TOTAL,88 ,Males,60 
SENGKANG,TOTAL,88 ,Females,170 
SENGKANG,TOTAL,89 ,Total,220 
SENGKANG,TOTAL,89 ,Males,60 
SENGKANG,TOTAL,89 ,Females,160 
SENGKANG,TOTAL,90 & Over,Total,750 
SENGKANG,TOTAL,90 & Over,Males,190 
SENGKANG,TOTAL,90 & Over,Females,570 
SENGKANG,ANCHORVALE,Total,Total,"51,310"
SENGKANG,ANCHORVALE,Total,Males,"25,190"
SENGKANG,ANCHORVALE,Total,Females,"26,120"
SENGKANG,ANCHORVALE,0,Total,470
SENGKANG,ANCHORVALE,0,Males,240
SENGKANG,ANCHORVALE,0,Females,230
SENGKANG,ANCHORVALE,1,Total,560
SENGKANG,ANCHORVALE,1,Males,320
SENGKANG,ANCHORVALE,1,Females,240
SENGKANG,ANCHORVALE,2,Total,630
SENGKANG,ANCHORVALE,2,Males,330
SENGKANG,ANCHORVALE,2,Females,300
SENGKANG,ANCHORVALE,3,Total,630
SENGKANG,ANCHORVALE,3,Males,310
SENGKANG,ANCHORVALE,3,Females,310
SENGKANG,ANCHORVALE,4,Total,730
SENGKANG,ANCHORVALE,4,Males,360
SENGKANG,ANCHORVALE,4,Females,370
SENGKANG,ANCHORVALE,5,Total,730
SENGKANG,ANCHORVALE,5,Males,390
SENGKANG,ANCHORVALE,5,Females,340
SENGKANG,ANCHORVALE,6,Total,740
SENGKANG,ANCHORVALE,6,Males,370
SENGKANG,ANCHORVALE,6,Females,370
SENGKANG,ANCHORVALE,7,Total,790
SENGKANG,ANCHORVALE,7,Males,410
SENGKANG,ANCHORVALE,7,Females,380
SENGKANG,ANCHORVALE,8,Total,860
SENGKANG,ANCHORVALE,8,Males,440
SENGKANG,ANCHORVALE,8,Females,420
SENGKANG,ANCHORVALE,9,Total,850
SENGKANG,ANCHORVALE,9,Males,440
SENGKANG,ANCHORVALE,9,Females,410
SENGKANG,ANCHORVALE,10,Total,790
SENGKANG,ANCHORVALE,10,Males,420
SENGKANG,ANCHORVALE,10,Females,370
SENGKANG,ANCHORVALE,11,Total,790
SENGKANG,ANCHORVALE,11,Males,400
SENGKANG,ANCHORVALE,11,Females,390
SENGKANG,ANCHORVALE,12,Total,680
SENGKANG,ANCHORVALE,12,Males,340
SENGKANG,ANCHORVALE,12,Females,350
SENGKANG,ANCHORVALE,13,Total,650
SENGKANG,ANCHORVALE,13,Males,340
SENGKANG,ANCHORVALE,13,Females,310
SENGKANG,ANCHORVALE,14,Total,650
SENGKANG,ANCHORVALE,14,Males,320
SENGKANG,ANCHORVALE,14,Females,330
SENGKANG,ANCHORVALE,15,Total,630
SENGKANG,ANCHORVALE,15,Males,320
SENGKANG,ANCHORVALE,15,Females,310
SENGKANG,ANCHORVALE,16,Total,700
SENGKANG,ANCHORVALE,16,Males,350
SENGKANG,ANCHORVALE,16,Females,340
SENGKANG,ANCHORVALE,17,Total,640
SENGKANG,ANCHORVALE,17,Males,350
SENGKANG,ANCHORVALE,17,Females,290
SENGKANG,ANCHORVALE,18,Total,600
SENGKANG,ANCHORVALE,18,Males,310
SENGKANG,ANCHORVALE,18,Females,300
SENGKANG,ANCHORVALE,19,Total,580
SENGKANG,ANCHORVALE,19,Males,300
SENGKANG,ANCHORVALE,19,Females,280
SENGKANG,ANCHORVALE,20,Total,560
SENGKANG,ANCHORVALE,20,Males,300
SENGKANG,ANCHORVALE,20,Females,260
SENGKANG,ANCHORVALE,21,Total,500
SENGKANG,ANCHORVALE,21,Males,220
SENGKANG,ANCHORVALE,21,Females,280
SENGKANG,ANCHORVALE,22,Total,500
SENGKANG,ANCHORVALE,22,Males,280
SENGKANG,ANCHORVALE,22,Females,220
SENGKANG,ANCHORVALE,23,Total,530
SENGKANG,ANCHORVALE,23,Males,260
SENGKANG,ANCHORVALE,23,Females,270
SENGKANG,ANCHORVALE,24,Total,480
SENGKANG,ANCHORVALE,24,Males,240
SENGKANG,ANCHORVALE,24,Females,240
SENGKANG,ANCHORVALE,25,Total,430
SENGKANG,ANCHORVALE,25,Males,220
SENGKANG,ANCHORVALE,25,Females,210
SENGKANG,ANCHORVALE,26,Total,490
SENGKANG,ANCHORVALE,26,Males,230
SENGKANG,ANCHORVALE,26,Females,260
SENGKANG,ANCHORVALE,27,Total,470
SENGKANG,ANCHORVALE,27,Males,220
SENGKANG,ANCHORVALE,27,Females,250
SENGKANG,ANCHORVALE,28,Total,480
SENGKANG,ANCHORVALE,28,Males,240
SENGKANG,ANCHORVALE,28,Females,250
SENGKANG,ANCHORVALE,29,Total,500
SENGKANG,ANCHORVALE,29,Males,230
SENGKANG,ANCHORVALE,29,Females,270
SENGKANG,ANCHORVALE,30,Total,630
SENGKANG,ANCHORVALE,30,Males,300
SENGKANG,ANCHORVALE,30,Females,340
SENGKANG,ANCHORVALE,31,Total,640
SENGKANG,ANCHORVALE,31,Males,280
SENGKANG,ANCHORVALE,31,Females,370
SENGKANG,ANCHORVALE,32,Total,730
SENGKANG,ANCHORVALE,32,Males,330
SENGKANG,ANCHORVALE,32,Females,410
SENGKANG,ANCHORVALE,33,Total,840
SENGKANG,ANCHORVALE,33,Males,370
SENGKANG,ANCHORVALE,33,Females,470
SENGKANG,ANCHORVALE,34,Total,910
SENGKANG,ANCHORVALE,34,Males,410
SENGKANG,ANCHORVALE,34,Females,500
SENGKANG,ANCHORVALE,35,Total,"1,060"
SENGKANG,ANCHORVALE,35,Males,470
SENGKANG,ANCHORVALE,35,Females,590
SENGKANG,ANCHORVALE,36,Total,"1,050"
SENGKANG,ANCHORVALE,36,Males,480
SENGKANG,ANCHORVALE,36,Females,570
SENGKANG,ANCHORVALE,37,Total,"1,010"
SENGKANG,ANCHORVALE,37,Males,450
SENGKANG,ANCHORVALE,37,Females,570
SENGKANG,ANCHORVALE,38,Total,"1,030"
SENGKANG,ANCHORVALE,38,Males,480
SENGKANG,ANCHORVALE,38,Females,540
SENGKANG,ANCHORVALE,39,Total,"1,120"
SENGKANG,ANCHORVALE,39,Males,500
SENGKANG,ANCHORVALE,39,Females,620
SENGKANG,ANCHORVALE,40,Total,"1,040"
SENGKANG,ANCHORVALE,40,Males,500
SENGKANG,ANCHORVALE,40,Females,540
SENGKANG,ANCHORVALE,41,Total,"1,090"
SENGKANG,ANCHORVALE,41,Males,560
SENGKANG,ANCHORVALE,41,Females,540
SENGKANG,ANCHORVALE,42,Total,"1,000"
SENGKANG,ANCHORVALE,42,Males,510
SENGKANG,ANCHORVALE,42,Females,490
SENGKANG,ANCHORVALE,43,Total,930
SENGKANG,ANCHORVALE,43,Males,480
SENGKANG,ANCHORVALE,43,Females,450
SENGKANG,ANCHORVALE,44,Total,970
SENGKANG,ANCHORVALE,44,Males,480
SENGKANG,ANCHORVALE,44,Females,490
SENGKANG,ANCHORVALE,45,Total,910
SENGKANG,ANCHORVALE,45,Males,460
SENGKANG,ANCHORVALE,45,Females,450
SENGKANG,ANCHORVALE,46,Total,900
SENGKANG,ANCHORVALE,46,Males,430
SENGKANG,ANCHORVALE,46,Females,460
SENGKANG,ANCHORVALE,47,Total,870
SENGKANG,ANCHORVALE,47,Males,410
SENGKANG,ANCHORVALE,47,Females,460
SENGKANG,ANCHORVALE,48,Total,840
SENGKANG,ANCHORVALE,48,Males,380
SENGKANG,ANCHORVALE,48,Females,460
SENGKANG,ANCHORVALE,49,Total,840
SENGKANG,ANCHORVALE,49,Males,410
SENGKANG,ANCHORVALE,49,Females,430
SENGKANG,ANCHORVALE,50,Total,870
SENGKANG,ANCHORVALE,50,Males,430
SENGKANG,ANCHORVALE,50,Females,440
SENGKANG,ANCHORVALE,51,Total,900
SENGKANG,ANCHORVALE,51,Males,480
SENGKANG,ANCHORVALE,51,Females,420
SENGKANG,ANCHORVALE,52,Total,780
SENGKANG,ANCHORVALE,52,Males,410
SENGKANG,ANCHORVALE,52,Females,370
SENGKANG,ANCHORVALE,53,Total,710
SENGKANG,ANCHORVALE,53,Males,370
SENGKANG,ANCHORVALE,53,Females,340
SENGKANG,ANCHORVALE,54,Total,570
SENGKANG,ANCHORVALE,54,Males,320
SENGKANG,ANCHORVALE,54,Females,250
SENGKANG,ANCHORVALE,55,Total,570
SENGKANG,ANCHORVALE,55,Males,310
SENGKANG,ANCHORVALE,55,Females,270
SENGKANG,ANCHORVALE,56,Total,530
SENGKANG,ANCHORVALE,56,Males,280
SENGKANG,ANCHORVALE,56,Females,250
SENGKANG,ANCHORVALE,57,Total,480
SENGKANG,ANCHORVALE,57,Males,260
SENGKANG,ANCHORVALE,57,Females,220
SENGKANG,ANCHORVALE,58,Total,510
SENGKANG,ANCHORVALE,58,Males,270
SENGKANG,ANCHORVALE,58,Females,240
SENGKANG,ANCHORVALE,59,Total,500
SENGKANG,ANCHORVALE,59,Males,270
SENGKANG,ANCHORVALE,59,Females,230
SENGKANG,ANCHORVALE,60,Total,470
SENGKANG,ANCHORVALE,60,Males,240
SENGKANG,ANCHORVALE,60,Females,230
SENGKANG,ANCHORVALE,61,Total,460
SENGKANG,ANCHORVALE,61,Males,220
SENGKANG,ANCHORVALE,61,Females,240
SENGKANG,ANCHORVALE,62,Total,490
SENGKANG,ANCHORVALE,62,Males,250
SENGKANG,ANCHORVALE,62,Females,240
SENGKANG,ANCHORVALE,63,Total,510
SENGKANG,ANCHORVALE,63,Males,240
SENGKANG,ANCHORVALE,63,Females,270
SENGKANG,ANCHORVALE,64,Total,520
SENGKANG,ANCHORVALE,64,Males,260
SENGKANG,ANCHORVALE,64,Females,260
SENGKANG,ANCHORVALE,65,Total,450
SENGKANG,ANCHORVALE,65,Males,220
SENGKANG,ANCHORVALE,65,Females,230
SENGKANG,ANCHORVALE,66,Total,470
SENGKANG,ANCHORVALE,66,Males,220
SENGKANG,ANCHORVALE,66,Females,250
SENGKANG,ANCHORVALE,67,Total,430
SENGKANG,ANCHORVALE,67,Males,200
SENGKANG,ANCHORVALE,67,Females,230
SENGKANG,ANCHORVALE,68,Total,420
SENGKANG,ANCHORVALE,68,Males,210
SENGKANG,ANCHORVALE,68,Females,210
SENGKANG,ANCHORVALE,69,Total,380
SENGKANG,ANCHORVALE,69,Males,200
SENGKANG,ANCHORVALE,69,Females,180
SENGKANG,ANCHORVALE,70,Total,360
SENGKANG,ANCHORVALE,70,Males,160
SENGKANG,ANCHORVALE,70,Females,200
SENGKANG,ANCHORVALE,71,Total,340
SENGKANG,ANCHORVALE,71,Males,150
SENGKANG,ANCHORVALE,71,Females,190
SENGKANG,ANCHORVALE,72,Total,310
SENGKANG,ANCHORVALE,72,Males,130
SENGKANG,ANCHORVALE,72,Females,170
SENGKANG,ANCHORVALE,73,Total,300
SENGKANG,ANCHORVALE,73,Males,140
SENGKANG,ANCHORVALE,73,Females,160
SENGKANG,ANCHORVALE,74,Total,250
SENGKANG,ANCHORVALE,74,Males,120
SENGKANG,ANCHORVALE,74,Females,130
SENGKANG,ANCHORVALE,75,Total,260
SENGKANG,ANCHORVALE,75,Males,120
SENGKANG,ANCHORVALE,75,Females,140
SENGKANG,ANCHORVALE,76,Total,230
SENGKANG,ANCHORVALE,76,Males,110
SENGKANG,ANCHORVALE,76,Females,120
SENGKANG,ANCHORVALE,77,Total,230
SENGKANG,ANCHORVALE,77,Males,90
SENGKANG,ANCHORVALE,77,Females,130
SENGKANG,ANCHORVALE,78,Total,120
SENGKANG,ANCHORVALE,78,Males,60
SENGKANG,ANCHORVALE,78,Females,70
SENGKANG,ANCHORVALE,79,Total,110
SENGKANG,ANCHORVALE,79,Males,40
SENGKANG,ANCHORVALE,79,Females,70
SENGKANG,ANCHORVALE,80,Total,120
SENGKANG,ANCHORVALE,80,Males,50
SENGKANG,ANCHORVALE,80,Females,80
SENGKANG,ANCHORVALE,81,Total,80
SENGKANG,ANCHORVALE,81,Males,40
SENGKANG,ANCHORVALE,81,Females,50
SENGKANG,ANCHORVALE,82,Total,80
SENGKANG,ANCHORVALE,82,Males,40
SENGKANG,ANCHORVALE,82,Females,40
SENGKANG,ANCHORVALE,83,Total,100
SENGKANG,ANCHORVALE,83,Males,40
SENGKANG,ANCHORVALE,83,Females,70
SENGKANG,ANCHORVALE,84,Total,100
SENGKANG,ANCHORVALE,84,Males,40
SENGKANG,ANCHORVALE,84,Females,60
SENGKANG,ANCHORVALE,85,Total,70
SENGKANG,ANCHORVALE,85,Males,30
SENGKANG,ANCHORVALE,85,Females,50
SENGKANG,ANCHORVALE,86,Total,50
SENGKANG,ANCHORVALE,86,Males,20
SENGKANG,ANCHORVALE,86,Females,30
SENGKANG,ANCHORVALE,87,Total,30
SENGKANG,ANCHORVALE,87,Males,10
SENGKANG,ANCHORVALE,87,Females,20
SENGKANG,ANCHORVALE,88,Total,30
SENGKANG,ANCHORVALE,88,Males,10
SENGKANG,ANCHORVALE,88,Females,20
SENGKANG,ANCHORVALE,89,Total,30
SENGKANG,ANCHORVALE,89,Males,10
SENGKANG,ANCHORVALE,89,Females,20
SENGKANG,ANCHORVALE,90 & Over,Total,120
SENGKANG,ANCHORVALE,90 & Over,Males,30
SENGKANG,ANCHORVALE,90 & Over,Females,80
SENGKANG,COMPASSVALE,Total,Total,"21,580"
SENGKANG,COMPASSVALE,Total,Males,"10,420"
SENGKANG,COMPASSVALE,Total,Females,"11,160"
SENGKANG,COMPASSVALE,0,Total,170
SENGKANG,COMPASSVALE,0,Males,90
SENGKANG,COMPASSVALE,0,Females,80
SENGKANG,COMPASSVALE,1,Total,170
SENGKANG,COMPASSVALE,1,Males,90
SENGKANG,COMPASSVALE,1,Females,80
SENGKANG,COMPASSVALE,2,Total,200
SENGKANG,COMPASSVALE,2,Males,110
SENGKANG,COMPASSVALE,2,Females,100
SENGKANG,COMPASSVALE,3,Total,250
SENGKANG,COMPASSVALE,3,Males,140
SENGKANG,COMPASSVALE,3,Females,110
SENGKANG,COMPASSVALE,4,Total,280
SENGKANG,COMPASSVALE,4,Males,140
SENGKANG,COMPASSVALE,4,Females,130
SENGKANG,COMPASSVALE,5,Total,290
SENGKANG,COMPASSVALE,5,Males,160
SENGKANG,COMPASSVALE,5,Females,130
SENGKANG,COMPASSVALE,6,Total,270
SENGKANG,COMPASSVALE,6,Males,140
SENGKANG,COMPASSVALE,6,Females,130
SENGKANG,COMPASSVALE,7,Total,310
SENGKANG,COMPASSVALE,7,Males,160
SENGKANG,COMPASSVALE,7,Females,150
SENGKANG,COMPASSVALE,8,Total,300
SENGKANG,COMPASSVALE,8,Males,150
SENGKANG,COMPASSVALE,8,Females,150
SENGKANG,COMPASSVALE,9,Total,350
SENGKANG,COMPASSVALE,9,Males,170
SENGKANG,COMPASSVALE,9,Females,180
SENGKANG,COMPASSVALE,10,Total,330
SENGKANG,COMPASSVALE,10,Males,180
SENGKANG,COMPASSVALE,10,Females,160
SENGKANG,COMPASSVALE,11,Total,380
SENGKANG,COMPASSVALE,11,Males,190
SENGKANG,COMPASSVALE,11,Females,190
SENGKANG,COMPASSVALE,12,Total,350
SENGKANG,COMPASSVALE,12,Males,190
SENGKANG,COMPASSVALE,12,Females,150
SENGKANG,COMPASSVALE,13,Total,300
SENGKANG,COMPASSVALE,13,Males,150
SENGKANG,COMPASSVALE,13,Females,150
SENGKANG,COMPASSVALE,14,Total,300
SENGKANG,COMPASSVALE,14,Males,140
SENGKANG,COMPASSVALE,14,Females,160
SENGKANG,COMPASSVALE,15,Total,290
SENGKANG,COMPASSVALE,15,Males,160
SENGKANG,COMPASSVALE,15,Females,130
SENGKANG,COMPASSVALE,16,Total,270
SENGKANG,COMPASSVALE,16,Males,150
SENGKANG,COMPASSVALE,16,Females,120
SENGKANG,COMPASSVALE,17,Total,240
SENGKANG,COMPASSVALE,17,Males,130
SENGKANG,COMPASSVALE,17,Females,120
SENGKANG,COMPASSVALE,18,Total,250
SENGKANG,COMPASSVALE,18,Males,130
SENGKANG,COMPASSVALE,18,Females,120
SENGKANG,COMPASSVALE,19,Total,200
SENGKANG,COMPASSVALE,19,Males,100
SENGKANG,COMPASSVALE,19,Females,110
SENGKANG,COMPASSVALE,20,Total,180
SENGKANG,COMPASSVALE,20,Males,100
SENGKANG,COMPASSVALE,20,Females,80
SENGKANG,COMPASSVALE,21,Total,180
SENGKANG,COMPASSVALE,21,Males,100
SENGKANG,COMPASSVALE,21,Females,90
SENGKANG,COMPASSVALE,22,Total,150
SENGKANG,COMPASSVALE,22,Males,70
SENGKANG,COMPASSVALE,22,Females,80
SENGKANG,COMPASSVALE,23,Total,160
SENGKANG,COMPASSVALE,23,Males,80
SENGKANG,COMPASSVALE,23,Females,80
SENGKANG,COMPASSVALE,24,Total,140
SENGKANG,COMPASSVALE,24,Males,60
SENGKANG,COMPASSVALE,24,Females,80
